id;name;bn_name;created_by;created_date;last_modified_by;last_modified_date;district_id
1;lime best-of-breed;Djibouti Tasty;haptic online Investor;2023-10-02T06:38:12;foreground;2023-10-02T16:39:41;1
2;virtual Jewelery invoice;capacitor purple;Group;2023-10-02T17:52:28;compress;2023-10-02T17:05:23;2
3;back-end Rustic Designer;innovative Senior;bandwidth Shoes Specialist;2023-10-02T13:59:06;Metal wireless indexing;2023-10-02T06:59:54;3
4;bricks-and-clicks;RAM;Designer leading Shoes;2023-10-02T14:37:43;national Borders 1080p;2023-10-01T20:52:24;4
5;Future users;multi-tasking;program;2023-10-02T02:10:03;Refined Concrete;2023-10-02T04:43:01;5
6;Persevering recontextualize;copy SCSI;alarm;2023-10-02T11:48:11;auxiliary;2023-10-02T02:50:55;6
7;Bahraini;system-worthy;Fresh morph;2023-10-01T21:45:01;Wooden;2023-10-02T18:03:12;7
8;matrices;Generic;JBOD SSL invoice;2023-10-02T04:04:50;sensor RSS Cotton;2023-10-02T01:07:32;8
9;SDD;Customizable Handcrafted;withdrawal Squares;2023-10-02T01:14:40;Plastic Regional disintermediate;2023-10-02T03:55:16;9
10;PCI Gorgeous efficient;methodologies Rubber;functionalities next-generation;2023-10-02T09:58:29;Brand Optional;2023-10-01T23:52:49;10
