id;name;bn_name;account_no;account_title;created_by;created_date;last_modified_by;last_modified_date
1;transmit synthesize Beauty;Representative ADP lime;COM Intelligent withdrawal;payment Quality;Concrete;2023-10-02T13:58:43;groupware Account;2023-10-02T06:51:07
2;Games;Architect transitional;Frozen interactive;Buckinghamshire B2C;neural Venezuela;2023-10-01T23:11:39;Branding Frozen;2023-10-02T12:55:30
3;open-source;Kansas;Developer Future;Operative Handmade Factors;Group Berkshire RSS;2023-10-02T07:07:22;backing turquoise;2023-10-02T06:23:49
4;Yen;quantify firewall Wooden;Executive Bedfordshire Accounts;killer Account;network;2023-10-02T05:38:25;hub bluetooth;2023-10-02T03:13:23
5;Buckinghamshire productize;payment;Wooden;silver Movies;Papua;2023-10-02T15:09:02;facilitate;2023-10-02T00:00:39
6;Intelligent;Oman Automotive;SSL transmitting;Licensed Practical;back;2023-10-02T00:23:38;Turkey;2023-10-01T19:21:49
7;Qatari;backing;Squares;Sleek Personal;Bedfordshire;2023-10-02T17:22:13;e-business quantifying deliverables;2023-10-02T06:47:55
8;Associate User-friendly;Rustic Berkshire Ireland;Global Data;Comoros Small West;Gabon;2023-10-02T16:25:15;dot-com Shirt PNG;2023-10-01T19:34:51
9;Intranet Soft;magnetic instruction bluetooth;purposes;IB Solutions;Berkshire Open-architected;2023-10-02T14:18:27;Hampshire Concrete granular;2023-10-02T12:38:15
10;quantify Consultant;Public-key Minnesota revolutionize;program Turkey Chief;interfaces navigating olive;Arkansas Granite revolutionary;2023-10-02T10:28:54;Dram;2023-10-02T16:08:48
