id;name;bn_name;short_name;mobile;created_by;created_date;last_modified_by;last_modified_date;upazila_id
1;system;Automotive vertical e-commerce;aggregate Bedfordshire;Roads blue;Infrastructure;2023-10-02T15:03:07;payment reintermediate;2023-10-01T18:25:56;1
2;Lodge markets;Intelligent cultivate Toys;Carolina Reactive;Metal Account Walks;IB;2023-10-02T00:06:19;Accountability Tactics Internal;2023-10-02T03:32:46;2
3;maximize;Loan;invoice challenge Configurable;maroon;Baby Shoes;2023-10-02T03:59:37;Specialist;2023-10-02T02:57:35;3
4;Practical District;Facilitator Configurable;Product;card connecting;Moldovan Borders Sweden;2023-10-02T15:29:18;De-engineered Jersey;2023-10-02T17:37:31;4
5;payment deposit Dynamic;quantifying;blockchains didactic synthesize;Via Technician;withdrawal Cambridgeshire RSS;2023-10-02T04:50:28;magnetic;2023-10-01T20:12:59;5
6;green ivory;Infrastructure salmon;Forward Bike;calculating metrics;Savings Chips;2023-10-01T22:30:33;Nebraska Sleek Manager;2023-10-02T03:48:31;6
7;Colorado;turquoise B2C;Salad compress Automotive;online Cape;Riel Dynamic Licensed;2023-10-02T06:25:28;SMTP firewall Representative;2023-10-02T08:59:20;7
8;haptic;service-desk Shirt pricing;Awesome Markets;Business-focused strategy backing;global;2023-10-02T08:34:46;Advanced;2023-10-02T06:07:31;8
9;moderator;Engineer base architecture;Practical;Bedfordshire metrics;extend;2023-10-01T22:50:00;networks Car;2023-10-02T04:12:11;9
10;SDD one-to-one program;24/7 programming;Plastic;Denar;Michigan;2023-10-02T18:04:12;Fresh;2023-10-01T22:02:00;10
