id;name;created_by;created_date;last_modified_by;last_modified_date
1;web-readiness radical Product;Avon Mississippi;2023-10-03T21:33:07;productize PCI Incredible;2023-10-03T18:50:29
2;improvement Investment flexibility;SDD;2023-10-03T22:13:36;Texas;2023-10-03T19:56:57
3;Korea haptic;Automated Card Buckinghamshire;2023-10-04T01:49:07;online green Expressway;2023-10-03T22:59:04
4;Lesotho online cross-media;Jordan cyan;2023-10-04T13:29:54;niches SDD B2B;2023-10-04T08:18:53
5;Electronics Tools Zambia;Handmade Sausages Persistent;2023-10-04T16:53:23;Berkshire;2023-10-04T02:00:15
6;dedicated;deposit Hampshire;2023-10-04T18:16:25;Quetzal deposit Gloves;2023-10-04T04:49:39
7;cross-media;Ways Dong;2023-10-03T18:51:48;capability;2023-10-04T18:09:57
8;Rubber;incubate;2023-10-03T23:12:44;Legacy;2023-10-04T14:20:54
9;online Associate;Grocery Kazakhstan Shoes;2023-10-04T05:27:58;Metal Buckinghamshire;2023-10-03T23:11:24
10;Implementation SCSI;Table Music;2023-10-04T02:53:37;Village;2023-10-04T06:32:10
