id;name;digit;link;short_name;created_by;created_date;last_modified_by;last_modified_date
1;incubate Tactics;Borders matrix;Tactics Lights;impactful;transmit Sleek;2023-10-04T05:20:30;Account Dollar red;2023-10-04T16:22:05
2;hack channels Beauty;Toys;foreground Account end-to-end;Down-sized;Cotton Rapids Forward;2023-10-03T21:11:31;even-keeled Principal;2023-10-04T07:46:51
3;BCEAO JBOD Frozen;compressing Baby Mexico;invoice;program;syndicate Fantastic e-markets;2023-10-04T06:12:15;Dollar Wooden Dynamic;2023-10-03T19:21:38
4;deploy innovate;Avon plum;client-server;Account;Russian Pizza withdrawal;2023-10-04T15:34:25;FTP Car;2023-10-04T07:09:02
5;Robust orchestration Frozen;protocol Iraq;pink Mouse;mesh;Cotton mindshare Kuwait;2023-10-03T19:28:34;and orange;2023-10-03T19:53:56
6;capacitor embrace mission-critical;Technician;Fish Associate Intelligent;Health ADP wireless;haptic Franc Michigan;2023-10-04T12:34:15;methodologies leverage Soft;2023-10-04T01:19:20
7;proactive;Chair e-services;systems Chips;Park;Practical quantify program;2023-10-03T19:10:52;Representative Cambridgeshire Direct;2023-10-04T05:52:47
8;Cambridgeshire AGP SDD;Berkshire;e-markets invoice Hat;yellow scale Pennsylvania;harness synthesizing River;2023-10-04T01:30:31;compressing Engineer transmit;2023-10-04T01:49:55
9;Soft;Designer;Engineer;Computers Synergistic invoice;Car invoice Fantastic;2023-10-04T08:53:49;withdrawal payment Franc;2023-10-04T02:09:42
10;virtual;AGP Agent;parsing Small port;back Loan Hampshire;mobile Home;2023-10-04T04:09:56;California Games;2023-10-04T15:08:31
