id;name;bn_name;created_by;created_date;last_modified_by;last_modified_date
1;Loaf;Fresh rich;connect Sausages Cambridgeshire;2023-10-01T19:23:21;harness Program;2023-10-02T10:31:02
2;orchid;Business-focused;deposit Roads Groves;2023-10-02T16:19:51;synthesizing;2023-10-02T14:58:43
3;deliverables SDD;Rupee Metal GB;Silver;2023-10-02T06:50:14;Toys data-warehouse;2023-10-01T21:36:59
4;Chief clear-thinking Manat;Account;Congo;2023-10-02T05:13:30;green;2023-10-02T16:24:09
5;Loan Investor;invoice gold Data;tan;2023-10-01T23:47:55;coherent utilize optical;2023-10-02T01:07:01
6;Turkmenistan;index National Borders;recontextualize;2023-10-02T01:07:05;calculating Avon deliverables;2023-10-02T11:31:09
7;Vision-oriented Handcrafted;Granite;green vortals Shoes;2023-10-01T19:09:06;invoice hacking;2023-10-02T02:04:20
8;facilitate Clothing Wisconsin;Borders Engineer hub;Kids West Mississippi;2023-10-02T00:21:44;Cook;2023-10-02T12:40:08
9;next-generation;1080p;Dinar;2023-10-02T09:11:06;Brook generating Bacon;2023-10-02T07:32:14
10;Place;productize;analyzing District;2023-10-02T12:00:46;Rubber orchid Small;2023-10-02T09:53:52
